,Titre,Company,Location,Salary,Summaries
81,Stagiaire Opinion Data Analyst,Winamax,Paris 18e (75),2 000 € - 2 200 € par mois,"Présentation de la Direction générale.
La Banque de France recrute un Statisticien - Data Scientist H/F dans le cadre dune création de poste."
82,Stagiaire Data Scientist,Stack Elite,Meudon (92),36 000 € - 54 000 € par an,"Data analyst h/f ou similaire: 3 ans (Requis).
Mission au sein d'une équipe de production décisionnelle afin de:
Communiquer auprès des acteurs internes."
83,CDD - Data Scientist ou Statisticien (F/H),Bouygues Telecom,Noisy-le-Sec (93),2 000 € - 2 500 € par mois,"Vous bénéficiez d'une bonne connaissance en analyse de données, en algorithmes et en data engineering.
En qualité de Data Analyst, vous serez intégré(e) au sein…"
84,Consultant Data scientist F/H,Air Liquide,Levallois-Perret (92),2 000 € - 2 200 € par mois,"Equancy recherche un data scientist passionné pour rejoindre sa practice Data.
Nos équipes sont composées de consultants de niveau junior à manager,…"
85,Data Analyst H/F,Uptime,Paris 2e (75),2 000 € - 2 200 € par mois,"En tant que Data Engineer au sein de cette équipe, tu travailleras en étroite collaboration avec des data scientist et des développeurs pour prendre en charge…"
86,Consultant BI - Data Intelligence H/F,Micropole,Paris 9e (75),30 000 € - 35 000 € par an,"Vous êtes titulaire d’un Bac+4/5 (Ecole de commerce ou Université), vous avez une première expérience d’au moins 2 ans en tant que data analyst."
87,Consultant(e) fonctionnel en Business Intelligence f/h,Axys Consultants,Rueil-Malmaison (92),2 000 € - 2 200 € par mois,"Webmarketeur – développeur multimédia ou similaire: 1 an (Souhaité).
En tant qu'apprenti webmarketeur/développeur multimédia en alternance, vous aurez la charge…"
88,Développeur Data/BI (H/F),Groupe Kiosque,Paris 9e (75),27 000 € - 33 000 € par an,Nous recherchons un business data analyst passionné pour rejoindre l’équipe Analytics en pleine croissance au sein du Groupe Pierre & Vacances Center Parcs.
89,Développeur PHP e-commerce,ZAION,Asnières-sur-Seine (92),30 000 € - 35 000 € par an,"Dans le cadre de votre alternance et en collaboration avec un data scientist et un product owner, vos missions seront:
Élaborer les systèmes auto apprenant."
90,Développeur NodeJS H/F,CCM Benchmark Group,Levallois-Perret (92),1 954 € - 2 389 € par mois,"Dans le cadre de cette alternance, l'analyste participera à l'ensemble de ces activités en travaillant notamment sur les points suivants :"
91,Développeur C# H/F,Malakoff Humanis,Paris (75),40 000 € par an,"La réalisation d'analyses de data mining répondant à une problématique de l'entreprise, de la direction Pilotage Performance ou de l'un de nos clients."
92,Webmarketeur – Développeur multimédia h/f - Alternance,Wolters Kluwer,Paris (75),2 000 € - 2 200 € par mois,"Webmarketeur – développeur multimédia ou similaire: 1 an (Souhaité).
En tant qu'apprenti webmarketeur/développeur multimédia en alternance, vous aurez la charge…"
93,Alternance - Data Scientist H/F,Antilop,Paris 9e (75),60 000 € - 65 000 € par an,"Nous recherchons un(e) développeur PHP / Symfony pour rejoindre notre team Open-Data, concevoir et développer les applications web Open Data telle que l…"
94,Développeur PHP e-commerce,ASSU2000,Gennevilliers (92),2 000 € - 2 200 € par mois,"Analyse des data IP issues de nos mesures terrain et des data issues du crowdsourcing (SQL, Python).
Un des objectifs majeurs de 2020 est l'améliorations des…"
95,Data Scientist H/F,Esmoz,Sarcelles (95),35 000 € - 45 000 € par an,"Tu as une première expérience en data ou en BI;
Mettre en place et maintenir une documentation complète des données contenues dans notre data warehouse;"
96,Analyste Développeur Éditique (H/F),Bouygues Telecom,Rueil-Malmaison (92),55 000 € - 60 000 € par an,"Consultant(e) microsoft business intelligence ou similaire: 5 ans (Requis).
Vous rejoindrez une structure construite autour de valeurs tournées vers ses…"
97,JUNIOR SOCIAL DATA ANALYST,Crédit Agricole S.A.,Paris 9e (75),60 000 € - 65 000 € par an,"Le Groupe ENGIE , l'un des premiers énergéticiens au niveau mondial, est présent sur l'ensemble de la chaîne de l'énergie, en électricité et en gaz naturel, de…"
98,Data Analyst Confirmé - CDI (H/F),Nooeh,Paris (75),25 000 € - 30 000 € par an,"Dans ce contexte, l'équipe data science recherche un data scientist jeune diplômé.
Contribuer aux activités de conseil data de l'équipe en apportant ses…"
99,Data Scientist/Engineer H/F,BPCE SEF,Paris 2e (75),60 000 € - 65 000 € par an,"Au sein des datalab, des data factory ou des équipes Big Data/IA de nos clients, vous collaborerez avec l’ensemble des entités internes (Marketing, IT, Finance,…"
100,Alternance - 1 an - Data Analyst Connaissance Clients (H/F) - Paris 13ème,Chanel,Levallois-Perret (92),55 000 € - 60 000 € par an,"Consultant data scientist (h/f) ou similaire: 3 ans (Requis).
Etre en veille sur les technologies data et les modèles de data science (Machine Learning,…"
101,Business Analyst,Uptime,Levallois-Perret (92),35 000 € - 45 000 € par an,"Au sein de la DSI et du département Etudes et Projets, tu intégreras une équipe IT spécialisée dans la donnée et pluridisciplinaire composée d’un technical…"
102,Stagiaire Data Scientist,Kaisens Data,Paris 2e (75),2 000 € - 2 200 € par mois,"LES MISSIONS DU Data scientist-engineer.
LE CADRE DU Data scientist-engineer.
Au sein d’un collectif de 350 professionnels experts du digital, nous imaginons et…"
103,STAGE - DATA & BUSINESS ANALYST,INEOX,Paris 9e (75),35 000 € - 45 000 € par an,"Consultant business intelligence h/f ou similaire: 1 an (Souhaité).
_Nous proposons un poste en tant que que Consultant en Business Intelligence F/H."
104,Data Analyst (F/H),Cadreo,Rueil-Malmaison (92),55 000 € - 60 000 € par an,"Les experts Antilop adressent des challenges nombreux : répondre à des temps forts business (soldes, périodes de ventes privées), accompagner des acteurs qui n…"
105,DATA SCIENTIST INTERN,Mon-marché.fr,Paris 9e (75),60 000 € - 65 000 € par an,Nous recherchons un business data analyst passionné pour rejoindre l’équipe Analytics en pleine croissance au sein du Groupe Pierre & Vacances Center Parcs.
106,CONSULTANT DATA SCIENTIST H/F,emagine Consulting,Paris (75),2 000 € - 2 200 € par mois,"La réalisation d'analyses de data mining répondant à une problématique de l'entreprise, de la direction Pilotage Performance ou de l'un de nos clients."
107,Data Scientist Marketing H/F,Groupe Kiosque,Asnières-sur-Seine (92),35 000 € - 45 000 € par an,"Dans le cadre de cette alternance, l'analyste participera à l'ensemble de ces activités en travaillant notamment sur les points suivants :"
108,Alternance - Data Scientist H/F,ZAION,Levallois-Perret (92),60 000 € - 65 000 € par an,"Dans le cadre de votre alternance et en collaboration avec un data scientist et un product owner, vos missions seront:
Élaborer les systèmes auto apprenant."
109,Développeur PHP Data H/F,CCM Benchmark Group,Paris (75),55 000 € - 60 000 € par an,"Webmarketeur – développeur multimédia ou similaire: 1 an (Souhaité).
En tant qu'apprenti webmarketeur/développeur multimédia en alternance, vous aurez la charge…"
110,Webmarketeur – Développeur multimédia h/f - Alternance,Malakoff Humanis,Paris 9e (75),2 000 € - 2 200 € par mois,"Nous recherchons un(e) développeur PHP / Symfony pour rejoindre notre team Open-Data, concevoir et développer les applications web Open Data telle que l…"
111,Développeur NodeJS H/F,IT SERVICES SYSTEM,Paris 2e (75),35 000 € - 45 000 € par an,"Les experts Antilop adressent des challenges nombreux : répondre à des temps forts business (soldes, périodes de ventes privées), accompagner des acteurs qui n…"
112,Analyste Développeur Éditique (H/F),Groupement Les Mousquetaires,Meudon (92),55 000 € - 60 000 € par an,"Dans le cadre de votre alternance et en collaboration avec un data scientist et un product owner, vos missions seront:
Élaborer les systèmes auto apprenant."
113,Data Scientist H/F,ASSU2000,Gennevilliers (92),60 000 € - 65 000 € par an,Suivre et analyser la performance du business Mode en Europe : diffusion quotidienne au management et élaboration d'analyses hebdomadaires et mensuelles.
114,Développeur PHP e-commerce,Esmoz,Sarcelles (95),35 000 € - 45 000 € par an,Il est à la fois analyste statisticien et informaticien et a pour mission d’apporter des informations aux métiers en structurant et en manipulant habilement les…
115,Data Analyst (H/F),Antilop,Paris 18e (75),55 000 € - 60 000 € par an,"Formaliser des problématiques business (infrastructure IT) en projet de data science.
Bonnes pratiques de la data science."
116,Data Scientist (H/F),Chanel,Rueil-Malmaison (92),60 000 € - 65 000 € par an,"Business analyst ou similaire: 2 ans (Souhaité).
\* Vous avez une bonne compréhension de notre business.
FairMoney est en train de construire la première banque…"
117,Stagiaire Data Scientist,KERTIOS CONSULTING,Paris 9e (75),35 000 € - 45 000 € par an,"Traiter les données, structurées ou non structurées.
Contrôler la qualité des données, détecter des patterns, des outliers.
Notre réseau d’industries de santé."
118,Business Intelligence Analyst,Ingeniance,Levallois-Perret (92),55 000 € - 60 000 € par an,"Data analyst h/f ou similaire: 3 ans (Requis).
Mission au sein d'une équipe de production décisionnelle afin de:
Communiquer auprès des acteurs internes."
119,Alternance Data Scientist H/F,Groupe Pierre & Vacances - Center Parcs,Levallois-Perret (92),60 000 € - 65 000 € par an,"Nous cherchons à renforcer cette équipe d'un stagiaire développeur/data scientist passionné(e) !
Nous les aidons aussi bien sur les aspects techniques que sur…"
120,Data Scientist F/H,FairMoney,Asnières-sur-Seine (92),2 000 € - 2 200 € par mois,"Vous êtes autonome, data-driven et reconnu pour votre capacité à produire un contenu (des reportings et analyses) précis et synthétique."
121,Data Analyst (Internship),Calypse Consulting,Paris 9e (75),35 000 € - 45 000 € par an,"De formation Bac+5 écoles d’ingénieurs, formation universitaire statistiques / mathématiques, école de commerce complétée d’un cycle sur la data science."
122,Alternance - Business Developer - Customer Intelligence H/F,Nooeh,Paris 2e (75),60 000 € - 65 000 € par an,"Dans le cadre de cette alternance, l'analyste participera à l'ensemble de ces activités en travaillant notamment sur les points suivants :"
123,Business Intelligence Analyst,craft ai,Paris 9e (75),55 000 € - 60 000 € par an,Kel Foncier est l'application Web numéro 1 des développeurs fonciers en France offrant en 1 clic le potentiel constructible de chaque terrain et parcelle en…
124,DATA SCIENTIST / LABORATOIRE INTELLIGENCE ARTIFICIELLE (H/F),Fretbay,Rueil-Malmaison (92),35 000 € - 45 000 € par an,"Pour accompagner notre croissance, nous recrutons un développeur / développeuse NodeJS..
Maitrise des outils du développeur de logiciels de type Git."
125,Développeur C# H/F,Groupe Kiosque,Paris (75),60 000 € - 65 000 € par an,"La réalisation d'analyses de data mining répondant à une problématique de l'entreprise, de la direction Pilotage Performance ou de l'un de nos clients."
126,Webmarketeur – Développeur multimédia h/f - Alternance,CCM Benchmark Group,Levallois-Perret (92),55 000 € - 60 000 € par an,Nous recherchons un business data analyst passionné pour rejoindre l’équipe Analytics en pleine croissance au sein du Groupe Pierre & Vacances Center Parcs.
127,Développeur NodeJS H/F,Malakoff Humanis,Paris (75),35 000 € - 45 000 € par an,"Dans le cadre de votre alternance et en collaboration avec un data scientist et un product owner, vos missions seront:
Élaborer les systèmes auto apprenant."
128,Développeur PHP Data H/F,Wolters Kluwer,Paris 9e (75),60 000 € - 65 000 € par an,"Nous recherchons un(e) développeur PHP / Symfony pour rejoindre notre team Open-Data, concevoir et développer les applications web Open Data telle que l…"
129,Alternance - Data Scientist H/F,ZAION,Paris 2e (75),55 000 € - 60 000 € par an,"Webmarketeur – développeur multimédia ou similaire: 1 an (Souhaité).
En tant qu'apprenti webmarketeur/développeur multimédia en alternance, vous aurez la charge…"
130,Webmarketeur – Développeur multimédia h/f - Alternance,Groupe Kiosque,Levallois-Perret (92),60 000 € - 65 000 € par an,"Interpret data by using statistical techniques and provide ongoing reports.
Leverage data to guide ad monetization strategy and maximize inventory yield."
